83263: ART,"Contemporary Art Theory II"
83264: ART,"Contemporary Painting II"
83265: ART,"Contemporary Painting III"
83266: ART,"Design Workshop I"
83267: ART,"Design Workshop II"
83268: ART,"Design Workshp III"
83269: ART,"Freshman Seminar:Art"
83270: ART,"Garden Architecture in Italy"
83271: ART,"Hist Art To Renaissa"
83272: ART,"History of Photography"
83273: ART,"History of Printmaking"
83274: ART,"Hst Art After Renais"
83275: ART,"Indep Study Cont Painting"
83276: ART,"Intermed Studio Art"
83277: ART,"Intermediate Drawing"
83278: ART,"Intermediate Painting"
83279: ART,"Intermediate Printmaking"
83280: ART,"Intermediate Sculpture"
83281: ART,"Introduction to Visual Arts"
83282: ART,"Introductory Drawing"
83283: ART,"Introductory Painting"
83284: ART,"Introductory Sculpture"
83285: ART,"Issues Contemporary Art"
83286: ART,"Issues of Contemporary Art"
83287: ART,"Major Artist I"
83288: ART,"Major Artist II"
83289: ART,"Medieval and Renaissance Art"
83290: ART,"Metalsmithing"
83291: ART,"Modern Art in Latin America"
83292: ART,"Museum and Gallery Training"
83293: ART,"Nineteenth-Century Art"
83294: ART,"Portrait Drawing I"
83295: ART,"Portrait Drawing II"
83296: ART,"Printmaking"
83297: ART,"Role of Art in the Mod World"
83298: ART,"Seminar In Art"
83299: ART,"Senior Project I Art & Photog"
83300: ART,"Senior Project II Art & Photo"
83301: ART,"Studio Art Theory and Practice"
83302: ART,"The Architect and Society"
83303: ART,"The Ny Art Scene"
83304: ART,"Twentieth-Century Art"
83305: ART,"Visiting Artist Projects"
83306: ART,"Visiting Artist Workshop"
83307: ART,"Women and the Fine Arts"
83308: ASTR,"Astronomy"
83309: ASTR,"Astronomy 100-Level Elective"
83310: ASTR,"Astronomy 300-Level Elective"
83311: ASTR,"Astronomy 400-Level Elective"
83312: ASTR,"Astronomy Ind Study"
83313: ASTR,"Astronomy Independent Study"
83314: ASTR,"Astronomy Internship"
83315: ASTR,"Galactic Laboratory"
83316: ASTR,"General Astronomy"
83317: ASTR,"Introduction to Astrophysics"
83318: ASTR,"Life In The Univ Lab"
83319: ASTR,"Life in the Universe"
83320: ASTR,"Observational Astronomy"
83321: ASTR,"Planetary Geology"
83322: ASTR,"Planetary Laboratory"
83323: ASTR,"Solar System Theories"
83324: ASTR,"Space Science I"
83325: ASTR,"Space Science II"
83326: ASTR,"Survey of the Universe"
83327: ASTR,"Universe Theories"
83328: AUSD,"ASD Speech83329: AUSD,"Autism Spec Disorder"
83330: AUSD,"TRMNT ASD Part 1"
83331: AUSD,"Trtmnt Asd Part 2"
83332: BESC,"Behav Sci 400-Level Reviewed"
83333: BIOL,"31  Ooo"
83334: BIOL,"Adv Meth Cell Bio"
83335: BIOL,"Adv Microbiology"
83336: BIOL,"Adv Topics in Gene Reg Systems"
83337: BIOL,"Advanced Human Anatomy"
83338: BIOL,"Advanced Microscopy"
83339: BIOL,"Advanced Pharmacology"
83340: BIOL,"Advanced Physiology"
83341: BIOL,"Advanced Statistics"
83342: BIOL,"Advanced Tropical Ecology"
83343: BIOL,"Animal Behavior"
83344: BIOL,"Animal Physl-Tchrs"
83345: BIOL,"Animals in Captivity"
83346: BIOL,"Applied Microbio and Biotech"
83347: BIOL,"Bio Principles I Lab"
83348: BIOL,"Biochemistry I"
83349: BIOL,"Biochemistry II"
83350: BIOL,"Biogeography"
83351: BIOL,"Bioinformatics"
83352: BIOL,"Biology 100-Level Elective"
83353: BIOL,"Biology 200-Level Elective"
83354: BIOL,"Biology 300-Level Elective"
83355: BIOL,"Biology 400-Level Elective"
83356: BIOL,"Biology Grad Credit"
83357: BIOL,"Biology Ind Study"
83358: BIOL,"Biology Independent Study"
83359: BIOL,"Biology Internship"
83360: BIOL,"Biology of Cancer"
83361: BIOL,"Biophys/Drug Abuse"
83362: BIOL,"Botany"
83363: BIOL,"Cancer Biology"
83364: BIOL,"Cell Biochemistry"
83365: BIOL,"Cell Biology"
83366: BIOL,"Cell Culture Techniques"
83367: BIOL,"Cell Physiology"
83368: BIOL,"Cell Signaling"
83369: BIOL,"Cell Struct-Tchers"
83370: BIOL,"Cellular Toxicology"
83371: BIOL,"Clinical Microbiology"
83372: BIOL,"Clinical Pathology"
83373: BIOL,"Comparative Endocrinology"
83374: BIOL,"Comparative Physiology"
83375: BIOL,"Computational Molecular Bio"
83376: BIOL,"Conservation Biology"
83377: BIOL,"Developmental Biology"
83378: BIOL,"Develpmntl Bio-Tchrs"
83379: BIOL,"Diagnostic Molecular Biology"
83380: BIOL,"Drug Therapy"
83381: BIOL,"Ecology"
83382: BIOL,"Ecology And Man"
83383: BIOL,"Ecology Exper Mthds"
83384: BIOL,"Ecology-Teachers"
83385: BIOL,"Elect Micros & Xray Micranalys"
83386: BIOL,"Entomology"
83387: BIOL,"Env&Evol Physiology"
83388: BIOL,"Evolution"
83389: BIOL,"Evolution And Man"
83390: BIOL,"Evolution of Development"
83391: BIOL,"Evolution of Gene Regulation"
83392: BIOL,"Evolution of Primates"
83393: BIOL,"Evoluton-Secndry Sch"
83394: BIOL,"Exp Animal Physiolgy"
83395: BIOL,"Exp Meth Adv Genetcs"
83396: BIOL,"Exp Methods in Behavioral Bio"
83397: BIOL,"Exper Cell Biochem"
83398: BIOL,"Field Biology"
83399: BIOL,"Gene Regulatory Systems"
83400: BIOL,"General Biology I"
83401: BIOL,"General Biology I Laboratory"
83402: BIOL,"General Biology II"
83403: BIOL,"General Biology II Laboratory"
83404: BIOL,"General Microbiology"
83405: BIOL,"General Physiology"
83406: BIOL,"General Virology"
83407: BIOL,"Genetics"
83408: BIOL,"Genetics-Teachers"
83409: BIOL,"Genetics/Evolution"
83410: BIOL,"Graduate Bio Independent Study"
83411: BIOL,"Healthcare Law and Ethics"
83412: BIOL,"Healthcare and Law Ethics"
83413: BIOL,"Histology"
83414: BIOL,"History of Biology"
83415: BIOL,"Hosp Internship I"
83416: BIOL,"Hosp Internship II"
83417: BIOL,"Human Anat & Phys II"
83418: BIOL,"Human Anatomy I"
83419: BIOL,"Human Anatomy I Lab"
83420: BIOL,"Human Anatomy and Physiology I"
83421: BIOL,"Human Body"
83422: BIOL,"Human Sexuality"
83423: BIOL,"Immunology"
83424: BIOL,"Intro Bioinformat & Genomics"
83425: BIOL,"Intro to Tropical Ecology"
83426: BIOL,"Introduction to Biology"
83427: BIOL,"Introduction to Biotechnology"
83428: BIOL,"Introduction to Tropical Ecolo"
83429: BIOL,"Invertebrate Zoology"
83430: BIOL,"Lab Meth Cell Bio"
83431: BIOL,"Lab Meth Molec Genet"
83432: BIOL,"Lab Meth Physiology"
83433: BIOL,"Life Science in Taiwan"
83434: BIOL,"Marine Bio&Oceanogph"
83435: BIOL,"Marine Ecology"
83436: BIOL,"Mathematical Biology"
83437: BIOL,"Mathematical Models in Biology"
83438: BIOL,"Methodologies in Biotechnology"
83439: BIOL,"Micrb & Cell Path Lab"
83440: BIOL,"Microbiology & Cell Pathology"
83441: BIOL,"Mol Bio & Biotech Lab"
83442: BIOL,"Mol Bio for Sec Schl Tchrs"
83443: BIOL,"Mol Fdns Cell Functn"
83444: BIOL,"Mole Bio & Biotec Laboratory"
83445: BIOL,"Molecular Biology"
83446: BIOL,"Molecular Development"
83447: BIOL,"Molecular Genetics"
83448: BIOL,"Nat Sci For Teachers"
83449: BIOL,"Neuroscience"
83450: BIOL,"Nutrition"
83451: BIOL,"Ornithology"
83452: BIOL,"Pathophys Conc Hlth"
83453: BIOL,"Pharmacotherapeutics"
83454: BIOL,"Plant Evolutionary Ecology"
83455: BIOL,"Plant Physiology"
83456: BIOL,"Plant Population Biology"
83457: BIOL,"Prin&Meth Sys83458: BIOL,"Principles of Bio II Lab"
83459: BIOL,"Principles of Biology I"
83460: BIOL,"Principles of Biology II"
83461: BIOL,"Principles of Epidemiology"
83462: BIOL,"Principles of Neurobiology"
83463: BIOL,"Public Health Nutrition"
83464: BIOL,"Radiation Biology"
83465: BIOL,"Sci Tech Environ Bio"
83466: BIOL,"Scientific Communication"
83467: BIOL,"Scientific Communication II"
83468: BIOL,"Social Problems in Biology"
83469: BIOL,"Spec Tpcs Stat Anal"
83470: BIOL,"Statistical Analysis"
83471: BIOL,"Stats for Bio Sciences"
83472: BIOL,"The Biology of Disease"
83473: BIOL,"The Mammals"
83474: BIOL,"Thesis Research"
83475: BIOL,"Tpcs Marine Bio&Ocea"
83476: BIOL,"Urban Ecology"
83477: BIOL,"Vertebrate Endocrinology"
83478: BIOL,"Vertebrate Zoology"
83479: BUDA,"Analy Tech for Lrg Scal Data"
83480: BUDA,"BDA Independent Study"
83481: BUDA,"Big Data Mgmt- Supercomputing"
83482: BUDA,"Business Data"
83483: BUDA,"Business Data Analytics INDP"
83484: BUDA,"Comp & Stat Mthds For Bus & Ec"
83485: BUDA,"Forcastng for Mgrs & Rschrs"
83486: BUDA,"Intro Bus Data Analy Lrg Scale"
83487: BUDA,"Intro to Bus Data Anal of Lrg"
83488: BUDA,"Intro to Bus Data Analytics"
83489: BUDA,"Res. Proj In Large-Scale Data"
83490: BUDA,"Semi In Big Data-Curr Topics"
83491: BUSI,"Adv Word Processing"
83492: BUSI,"App Conc In Info Sys"
83493: BUSI,"Bus Software Tools"
83494: BUSI,"Bus/Eco Problems"
83495: BUSI,"Business 100-Level Elective"
83496: BUSI,"Business 200-Level Elective"
83497: BUSI,"Business 300-Level Elective"
83498: BUSI,"Business 400-Level Elective"
83499: BUSI,"Business Communications"
83500: BUSI,"Business Credit"
83501: BUSI,"Business Edp I"
83502: BUSI,"Business Edp II"
83503: BUSI,"Business Grad Credit"
83504: BUSI,"Business Ind Study"
83505: BUSI,"Business Independent Study"
83506: BUSI,"Business Internship"
83507: BUSI,"Business Law I"
83508: BUSI,"Business Law II"
83509: BUSI,"Business Law III"
83510: BUSI,"Comm In Corp Setting"
83511: BUSI,"Computers in Inform Processing"
83512: BUSI,"Entrepreneurship"
83513: BUSI,"Ethical Iss Bus&Soc"
83514: BUSI,"Glob Bus Strategy & Decision"
83515: BUSI,"Glob Strat&Dec Makin"
83516: BUSI,"Global Bus Seminar"
83517: BUSI,"Global Strat Abroad"
83518: BUSI,"Independent Study"
83519: BUSI,"Information Management"
83520: BUSI,"Insurance Principals I"
83521: BUSI,"Insurance Principals II"
83522: BUSI,"International Trade"
83523: BUSI,"Internatl Bus Intro"
83524: BUSI,"Intro To Info System"
83525: BUSI,"Introduction to Business"
83526: BUSI,"Labor Relations & Conflict Mgt"
83527: BUSI,"Media Administration"
83528: BUSI,"Multinatnl Enterpris"
83529: BUSI,"Practical New York Law"
83530: BUSI,"Real Estate Brokerge"
83531: BUSI,"Real Estate Practice"
83532: BUSI,"Seminar In Business"
83533: BUSI,"Services Marketing and Managem"
83534: BUSI,"Sustainable Business & Society"
83535: BUSI,"The Business of Healthcare"
83536: CERT,"Certified Full Time"
83537: CHEM,"32  Ooo"
83538: CHEM,"Adv Org Chem-Tchrs"
83539: CHEM,"Advanced Organic Chemistry"
83540: CHEM,"Analytical Chemistry"
83541: CHEM,"Applied Polymer Chemistry"
83542: CHEM,"Biochem I-Teachers"
83543: CHEM,"Biochem II-Teachers"
83544: CHEM,"Biochemistry I"
83545: CHEM,"Biochemistry II"
83546: CHEM,"Chem For Today II lab"
83547: CHEM,"Chem Grad Blanket Credit"
83548: CHEM,"Chem Grad Credit"
83549: CHEM,"Chem Ind Study"
83550: CHEM,"Chem Principls I Lab"
83551: CHEM,"Chem Princpls II Lab"
83552: CHEM,"Chem for Today I Lab"
83553: CHEM,"Chemical Analysis"
83554: CHEM,"Chemical Systems"
83555: CHEM,"Chemistry 100 -Level Elective"
83556: CHEM,"Chemistry 200-Level Elective"
83557: CHEM,"Chemistry 300-Level Elective"
83558: CHEM,"Chemistry 400-Level Elective"
83559: CHEM,"Chemistry Grad Blanket Credit"
83560: CHEM,"Chemistry Ind Study"
83561: CHEM,"Chemistry Independent Study"
83562: CHEM,"Chemistry Internship"
83563: CHEM,"Chemistry for Teachers"
83564: CHEM,"Chemistry for Today I"
83565: CHEM,"Chemistry for Today II"
83566: CHEM,"Chemistry in a Nutshell"
83567: CHEM,"Chm Lab Intro"
83568: CHEM,"Computational Physics"
83569: CHEM,"Elect Micro&Xray Mcr"
83570: CHEM,"Exp Methods in Physical Chem"
83571: CHEM,"Experimental Biochemistry"
83572: CHEM,"Gen Chemistry II Lab"
83573: CHEM,"General Chemistry I"
83574: CHEM,"General Chemistry I Laboratory"
83575: CHEM,"General Chemistry II"
83576: CHEM,"Hosp Internship I"
83577: CHEM,"Hosp Internship II"
83578: CHEM,"Independent Study for Research"
83579: CHEM,"Inorganic Chemistry"
83580: CHEM,"Intro Research Chem"
83581: CHEM,"Introduction to Chemistry"
83582: CHEM,"Modeling in CHM and BioCHM"
83583: CHEM,"Modeling in Chm and Biochm"
83584: CHEM,"Organc Chm I-Tchrs"
83585: CHEM,"Organic Chemistry I"
83586: CHEM,"Organic Chemistry II"
83587: CHEM,"Orgnc Chm II-Tchrs"
83588: CHEM,"Phys Chem I-Tchers"
83589: CHEM,"Phys Chm Ii-Tchers"
83590: CHEM,"Physical Chemistry: Equilibria"
83591: CHEM,"Physical Chemistry: Processes"
83592: CHEM,"Polymer Chem Semnr"
83593: CHEM,"Polymer Chemistry"
83594: CHEM,"Polymer Chemistry Topics"
83595: CHEM,"Principles of Chemistry I"
83596: CHEM,"Principles of Chemistry II"
83597: CHEM,"Quantum Chemistry"
83598: CHEM,"Reaction Processes"
83599: CHEM,"Research"
83600: CHEM,"Spectroscopy"
83601: CHIN,"Adv Comm Skl Mandarin Chn"
83602: CHIN,"Basic Mandarin Chinese I"
83603: CHIN,"Basic Mandarin II"
83604: CHIN,"Beginning Mandarin Chinese I"
83605: CHIN,"Chinese 100-Level Elective"
83606: CHIN,"Chinese Independent Study"
83607: CHIN,"Chinese Literature"
83608: CHIN,"Contemporary Expression"
83609: CHIN,"Continuing Mandarin Chinese I"
83610: CHIN,"Continuing Mandarin Chinese II"
83611: CHIN,"Conv Mandarin Chn I"
83612: CHIN,"Conv Mandarin Chn II"
83613: CHIN,"Gender & Sexu in China & Japan"
83614: CHIN,"Intensive Mandarin Chinese I"
83615: CHIN,"Intensive Mandarin Chinese II"
83616: CHIN,"Lang Contrast Eng&Chinese"
83617: CHIN,"Ling Aspects of Mand Chinese"
83618: CHIN,"Mod Chinese and Sinophone Lit"
83619: CIMS,"Cin/Media Grad Credt"
83620: CIMS,"Cinema Independent Study"
83621: CIMS,"Cinema Indepndt Stdy"
83622: CIMS,"Cinema Indepnt Stdy"
83623: CIMS,"Cinema Indepnt Study"
83624: CIMS,"Cinema and Gender"
83625: CIMS,"Contemporary Media Practices"
83626: CIMS,"Digital Media and Cult; A Crit"
83627: CIMS,"Digital Media&Cultre"
83628: CIMS,"Experimental Film and Video"
83629: CIMS,"Film and Video Workshop"
83630: CIMS,"Film&Media Res Analy"
83631: CIMS,"Film&Media Theory"
83632: CIMS,"Global Media"
83633: CIMS,"History of Media"
83634: CIMS,"Interdisciplinary Media Arts"
83635: CIMS,"Media and Ideology"
83636: CIMS,"Nonfiction Media"
83637: CIMS,"Nonlinear&Multime Pd"
83638: CIMS,"Race83639: CIMS,"Stdy Intl Cinema"
83640: CIMS,"Studies in Authorship"
83641: CIMS,"Studies in Media Genres"
83642: CIMS,"Thesis Research"
83643: CIST,"Adv Cinema Workshop"
83644: CIST,"Advanced TV Studio Production"
83645: CIST,"African American Media"
83646: CIST,"African Americans in the Media"
83647: CIST,"Amer Film And Myth"
83648: CIST,"American Directors After 1960"
83649: CIST,"American Directors Before 1960"
83650: CIST,"Bergman/Bunuel"
83651: CIST,"Chinese Cinema"
83652: CIST,"Cin And Media Intern"
83653: CIST,"Cinema Ind Study"
83654: CIST,"Cinema Independent Study"
83655: CIST,"Cinema Internship"
83656: CIST,"Cinematography"
83657: CIST,"Crafts Of Film"
83658: CIST,"Documentary Video"
83659: CIST,"East Asian Popular Cultures"
