"cuny_subject","short_title"
"EDPH","Senior Lifesaving"
"EDPH","Slimnastics"
"EDPH","Swimming I"
"EDPH","Swimming II"
"EDPH","Tennis For Beg"
"EDUC","Acad Litrcy Sklls (Alst) Test"
"EDUC","Afro-Amer Studies"
"EDUC","Alt Learn Methods"
"EDUC","Art Mus Media As Ins"
"EDUC","Art Of Tch Writing"
"EDUC","Assess of Infant & Toddlers"
"EDUC","Assessment in Education"
"EDUC","Behavior Patterns"
"EDUC","Black Perspectives"
"EDUC","Child Develop"
"EDUC","Child Development"
"EDUC","Children’S Lit"
"EDUC","Child’S Lit’S"
"EDUC","Chld Dev Chldhd/Adol"
"EDUC","Classroom Mgmt"
"EDUC","Clinical Exp Dd/Mr"
"EDUC","Clinical Pract: Sem I"
"EDUC","Clinical Practice I"
"EDUC","Clinical Practice II"
"EDUC","Clinical Practice Seminar II"
"EDUC","Community Involvemnt"
"EDUC","Community Involvmnt"
"EDUC","Computers in Education"
"EDUC","Cont Spec Child Educ"
"EDUC","Contemp Drama"
"EDUC","Content Specialty Test Seminar"
"EDUC","Creat Drama For Pre"
"EDUC","Critical Issues Hist of Educ"
"EDUC","Crtical Read/Wrt Sem"
"EDUC","Cur & Instr In Early"
"EDUC","Diagnosis in Reading"
"EDUC","Educ Research"
"EDUC","Educating All Students Test"
"EDUC","Elem Ed Curr Dvpmnt"
"EDUC","Esl: Theory To Pract"
"EDUC","Exceptional Child"
"EDUC","Field Experience"
"EDUC","Field Experiment: Shwdng Profs"
"EDUC","Fireld Experience:Clssrm Obsrv"
"EDUC","Fld Exp:Assmt Educ"
"EDUC","Fld Exp:Assmt Educ 2"
"EDUC","Fld Exp:Currc Rsch"
"EDUC","Fld Exp:Prnt/Com/Sch"
"EDUC","Fld Exp:Tech In Clss"
"EDUC","Fld Exp:Wk Small Grp"
"EDUC","Fld Exp:Wkg/Indv/Lrn"
"EDUC","Fnda/Ed Psy-Mid Chld"
"EDUC","Found Ed Psych: Adolescence"
"EDUC","Foundation Of Educ P"
"EDUC","Hist & Found Of Bili"
"EDUC","Hist Fund Of Educati"
"EDUC","Hist Of Educ"
"EDUC","Hlt Fit/Safety Teach"
"EDUC","Human Dyn In The Cla"
"EDUC","Human Rel In Educ"
"EDUC","Identi & Trtmt Of Le"
"EDUC","Independent Study"
"EDUC","Individ Instr"
"EDUC","Innovations in Education"
"EDUC","Interdisciplinary Seminar"
"EDUC","Intern Lab"
"EDUC","Intern Seminar"
"EDUC","Intro Dvlpmntl Disab"
"EDUC","Intro To Dev Disab"
"EDUC","Intro To Early Ch Ed"
"EDUC","Intro To Special Educ"
"EDUC","Intro Wrld Learn"
"EDUC","Introduction To Teac"
"EDUC","Lang Arts For Presch"
"EDUC","Lang/Learning/Curric"
"EDUC","Language Arts"
"EDUC","Language Structure"
"EDUC","Life Experience"
"EDUC","Literature Based Reading"
"EDUC","M & M Of Elem Educ"
"EDUC","M/M Tch Cont Haitian"
"EDUC","Management on Early Childhood"
"EDUC","Managing Classroom Behavior"
"EDUC","Met/Mat Tch Con Span"
"EDUC","Met/Mat Tchg La Hait"
"EDUC","Met/Mat Tchg La Span"
"EDUC","Multiple Handicapped"
"EDUC","Nd Inf, Todd & Chldrn Dev Dis"
"EDUC","Organ The Learn"
"EDUC","Ornt To The Wrld Of"
"EDUC","Para Educ Seminar"
"EDUC","Paraprofessional Edu"
"EDUC","Persons W/Mental Ret"
"EDUC","Perspectives On Lear"
"EDUC","Phil Soc Hist Found"
"EDUC","Phys Hanidcapped Edu"
"EDUC","Princ & P Of C.B.T.E"
"EDUC","Princ & Prac Of Cbte"
"EDUC","Princ Of Early Child"
"EDUC","Prnt Tchnr Chld Inta"
"EDUC","Pro Lab Experience"
"EDUC","Prof Lab Exper II"
"EDUC","Prof Lab Experience"
"EDUC","Read Met Exc Learner"
"EDUC","Read Mthds/Exception"
